datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name,square_diagonal,query_count,query_long,query_lat,dist_from_center,p_name
0.8607,1309.4,METERS,GHCND_USW00024030,41.0993,-102.9863,10/16/2018,1/1/1948,"SIDNEY MUNICIPAL AIRPORT, NE US",2.567836929,15,-103.7971871,40.9400077,0.826384818,Cedar Creek II
0.9565,1316.7,METERS,GHCND_USC00257830,41.2294,-103.0214,9/30/2018,12/1/1908,"SIDNEY 6 NNW, NE US",2.567836929,15,-103.7971871,40.9400077,0.82800572,Cedar Creek II
0.9965,291.1,METERS,GHCND_USW00094989,41.99056,-93.61889,10/16/2018,10/1/1996,"AMES MUNICIPAL AIRPORT, IA US",2.567836929,15,-93.28658131,42.10519407,0.351525298,Story County
0.9938,296.9,METERS,GHCND_USW00094988,42.11056,-92.91611,10/16/2018,10/1/1996,"MARSHALLTOWN MUNICIPAL AIRPORT, IA US",2.567836929,15,-93.28658131,42.10519407,0.370510168,Story County
0.9986,335,METERS,GHCND_USC00130200,42.0208,-93.7741,10/10/2018,11/1/1964,"AMES 8 WSW, IA US",2.567836929,15,-93.28658131,42.10519407,0.494769474,Story County
0.9012,492.3,METERS,GHCND_USC00324958,48.7622,-98.3447,10/17/2018,1897-04-01,"LANGDON EXPERIMENTAL FARM, ND US",2.139864108,14,-98.30500827,48.62139967,0.146287957,Langdon (4Q07)
0.9929,298,METERS,GHCND_CA005021849,49.1833,-98.0833,10/15/2018,12/1/1999,"MORDEN CDA CS, CA",2.139864108,14,-98.30500827,48.62139967,0.604058388,Langdon (4Q07)
0.9294,446.2,METERS,GHCND_USW00014912,48.1069,-98.868,7/2/2014,1/1/1921,"DEVILS LAKE KDLR, ND US",2.139864108,14,-98.30500827,48.62139967,0.76267267,Langdon (4Q07)
0.8179,397.5,METERS,GHCND_USW00014925,43.9041,-92.4916,10/16/2018,1893-01-01,"ROCHESTER INTERNATIONAL AIRPORT, MN US",3.081404315,16,-92.48494877,43.40534342,0.498800923,Crane Creek
0.9983,264.6,METERS,GHCND_USW00094910,42.5544,-92.4011,10/16/2018,3/1/1950,"WATERLOO MUNICIPAL AIRPORT, IA US",3.081404315,16,-92.48494877,43.40534342,0.855064517,Crane Creek
0.9999,373.4,METERS,GHCND_USW00014940,43.1544,-93.3269,10/16/2018,1/1/1948,"MASON CITY MUNICIPAL AIRPORT, IA US",3.081404315,16,-92.48494877,43.40534342,0.878552486,Crane Creek
0.2393,150.6,METERS,GHCND_USW00012907,27.53333,-99.46667,10/16/2018,3/15/1965,"LAREDO INTERNATIONAL AIRPORT, TX US",2.567836929,15,-98.9088124,27.57627508,0.559508161,Cedro Hill
0.7522,131.1,METERS,GHCND_USC00415060,27.5684,-99.4982,10/16/2018,9/1/1946,"LAREDO 2, TX US",2.567836929,15,-98.9088124,27.57627508,0.589440209,Cedro Hill
0.3484,52.7,METERS,GHCND_USW00012932,27.74111,-98.02472,10/16/2018,1/1/1948,"ALICE INTERNATIONAL AIRPORT, TX US",2.567836929,15,-98.9088124,27.57627508,0.899327484,Cedro Hill
0.9833,372.2,METERS,GHCND_USC00417300,31.9633,-98.4941,10/17/2018,6/1/1963,"PROCTOR RESERVOIR, TX US",2.567836929,15,-98.48703595,31.38867063,0.57467279,Goldthwaite
0.9838,392.6,METERS,GHCND_USW00003999,30.7406,-98.2354,10/16/2018,9/15/1996,"BURNET MUNICIPAL AIRPORT, TX US",2.567836929,15,-98.48703595,31.38867063,0.695209459,Goldthwaite
0.3054,309.4,METERS,GHCND_USW00003902,31.06667,-97.83333,10/23/2014,9/26/1950,"ROBERT GRAY ARMY AIR FIELD, TX US",2.567836929,15,-98.48703595,31.38867063,0.728708363,Goldthwaite
0.8552,355.7,METERS,GHCND_USC00414982,33.7542,-99.1442,10/17/2018,4/1/1962,"LAKE KEMP, TX US",3.697685178,17,-99.64714823,33.34140889,0.650656148,Willow Springs Wind Farm
0.9804,545.6,METERS,GHCND_USW00013962,32.4105,-99.6822,10/16/2018,8/1/1946,"ABILENE REGIONAL AIRPORT, TX US",3.697685178,17,-99.64714823,33.34140889,0.931568563,Willow Springs Wind Farm
0.9856,382.5,METERS,GHCND_USW00003981,34.34444,-98.98306,10/16/2018,2/1/1998,"FREDERICK MUNICIPAL AIRPORT, OK US",3.697685178,17,-99.64714823,33.34140889,1.202948289,Willow Springs Wind Farm
0.9943,407.8,METERS,GHCND_USW00014972,43.16444,-95.20167,10/15/2018,10/1/1996,"SPENCER MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.73740722,42.59949715,0.731232082,Pomeroy I
0.9939,401.4,METERS,GHCND_USW00094971,43.40111,-94.74722,10/16/2018,7/1/1996,"ESTHERVILLE MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.73740722,42.59949715,0.801672912,Pomeroy I
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",3.081404315,16,-94.73740722,42.59949715,0.81568298,Pomeroy I
0.9862,1351.8,METERS,GHCND_USC00291963,34.5988,-103.2161,10/17/2018,6/21/1949,"CLOVIS 13 N, NM US",3.081404315,16,-102.4691167,34.57434908,0.747383317,Bethel
0.9492,1098.5,METERS,GHCND_USW00023047,35.2295,-101.7042,10/16/2018,3/1/1943,"AMARILLO AIRPORT, TX US",3.081404315,16,-102.4691167,34.57434908,1.007134727,Bethel
0.5731,989.1,METERS,GHCND_USC00415410,33.6897,-101.8219,10/17/2018,3/1/1911,"LUBBOCK 9 N, TX US",3.081404315,16,-102.4691167,34.57434908,1.096126599,Bethel
0.2393,150.6,METERS,GHCND_USW00012907,27.53333,-99.46667,10/16/2018,3/15/1965,"LAREDO INTERNATIONAL AIRPORT, TX US",2.567836929,15,-98.91778322,27.45943533,0.553838532,Javelina II
0.7522,131.1,METERS,GHCND_USC00415060,27.5684,-99.4982,10/16/2018,9/1/1946,"LAREDO 2, TX US",2.567836929,15,-98.91778322,27.45943533,0.590556465,Javelina II
0.9837,97.5,METERS,GHCND_USC00413060,26.558,-99.1372,10/17/2018,7/1/1962,"FALCON DAM, TX US",2.567836929,15,-98.91778322,27.45943533,0.92775502,Javelina II
0.8607,1309.4,METERS,GHCND_USW00024030,41.0993,-102.9863,10/16/2018,1/1/1948,"SIDNEY MUNICIPAL AIRPORT, NE US",2.139864108,14,-103.0199606,40.9630556,0.140340909,Spring Canyon
0.9988,1130.5,METERS,GHCND_USC00051996,40.86,-102.803,10/17/2018,3/1/1996,"CROOK, CO US",2.139864108,14,-103.0199606,40.9630556,0.240192314,Spring Canyon
0.9565,1316.7,METERS,GHCND_USC00257830,41.2294,-103.0214,9/30/2018,12/1/1908,"SIDNEY 6 NNW, NE US",2.139864108,14,-103.0199606,40.9630556,0.26634829,Spring Canyon
0.9637,179.8,METERS,GHCND_USW00094898,44.02194,-82.79306,10/15/2018,6/24/1999,"PORT HOPE, MI US",2.567836929,15,-83.17823541,43.89107687,0.406798793,Echo
0.9098,178.6,METERS,GHCND_USC00202423,44.2838,-83.5036,10/17/2018,1890-04-01,"EAST TAWAS, MI US",2.567836929,15,-83.17823541,43.89107687,0.509993695,Echo
0.8035,256.6,METERS,GHCND_USC00203527,44.3127,-83.8272,9/30/2009,2/1/2002,"HALE 5 SSW, MI US",2.567836929,15,-83.17823541,43.89107687,0.773899926,Echo
0.9964,694.9,METERS,GHCND_USC00414967,33.06417,-101.04889,10/17/2018,5/1/1994,"LAKE ALAN HENRY, TX US",2.567836929,15,-100.9886488,32.8924993,0.181933597,Amazon Wind Farm Texas
0.7781,700.1,METERS,GHCND_USC00418566,33.47917,-100.87611,10/16/2018,5/1/1911,"SPUR, TX US",2.567836929,15,-100.9886488,32.8924993,0.59736713,Amazon Wind Farm Texas
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",2.567836929,15,-100.9886488,32.8924993,0.797768743,Amazon Wind Farm Texas
0.5051,538.3,METERS,GHCND_USW00024220,47.03389,-120.53028,10/15/2018,5/4/1940,"ELLENSBURG BOWERS FIELD, WA US",1.238347284,11,-120.1618129,46.95391605,0.377046183,Vantage Point
0.9507,130.5,METERS,GHCND_USC00456747,46.646,-119.9061,10/16/2018,12/6/1956,"PRIEST RAPIDS DAM, WA US",1.238347284,11,-120.1618129,46.95391605,0.400251658,Vantage Point
0.9683,392,METERS,GHCND_USC00456880,47.2235,-119.8524,7/28/2018,3/1/1941,"QUINCY, WA US",1.238347284,11,-120.1618129,46.95391605,0.41038014,Vantage Point
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.697685178,17,-101.8141163,32.21043658,0.362003688,Stanton Energy Center
1,872.3,METERS,GHCND_USW00023023,31.9475,-102.2086,10/16/2018,6/1/1930,"MIDLAND INTERNATIONAL AIRPORT, TX US",3.697685178,17,-101.8141163,32.21043658,0.47408122,Stanton Energy Center
0.9977,914.7,METERS,GHCND_USW00003031,31.92056,-102.38667,10/16/2018,12/1/1998,"ODESSA SCHLEMEYER FIELD, TX US",3.697685178,17,-101.8141163,32.21043658,0.641752386,Stanton Energy Center
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.081404315,16,-101.1166873,31.99235138,0.420779835,Panther Creek III
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,1/31/2008,12/1/1975,"O C FISHER DAM, TX US",3.081404315,16,-101.1166873,31.99235138,0.823720205,Panther Creek III
0.2272,576.1,METERS,GHCND_USC00417944,31.37083,-100.49432,10/17/2018,11/1/1947,"SAN ANGELO WEATHER FORECAST OFFICE, TX US",3.081404315,16,-101.1166873,31.99235138,0.879562322,Panther Creek III
0.9939,401.4,METERS,GHCND_USW00094971,43.40111,-94.74722,10/16/2018,7/1/1996,"ESTHERVILLE MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.85385597,43.79362158,0.406738948,Trimont Wind
0.9974,347.5,METERS,GHCND_USC00214546,44.2395,-95.3152,10/2/2018,1/1/1961,"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",3.081404315,16,-94.85385597,43.79362158,0.641596351,Trimont Wind
0.9943,407.8,METERS,GHCND_USW00014972,43.16444,-95.20167,10/15/2018,10/1/1996,"SPENCER MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.85385597,43.79362158,0.718918676,Trimont Wind
0.9804,545.6,METERS,GHCND_USW00013962,32.4105,-99.6822,10/16/2018,8/1/1946,"ABILENE REGIONAL AIRPORT, TX US",2.567836929,15,-100.2462056,32.20687832,0.599636688,Turkey Track
0.9411,594.1,METERS,GHCND_USC00414278,31.84555,-99.56068,10/17/2018,7/1/1953,"HORDS CREEK DAM, TX US",2.567836929,15,-100.2462056,32.20687832,0.774921651,Turkey Track
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,1/31/2008,12/1/1975,"O C FISHER DAM, TX US",2.567836929,15,-100.2462056,32.20687832,0.792503536,Turkey Track
0.9964,694.9,METERS,GHCND_USC00414967,33.06417,-101.04889,10/17/2018,5/1/1994,"LAKE ALAN HENRY, TX US",3.081404315,16,-100.7387427,32.46300559,0.676453978,Loraine
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.081404315,16,-100.7387427,32.46300559,0.747660393,Loraine
0.7781,700.1,METERS,GHCND_USC00418566,33.47917,-100.87611,10/16/2018,5/1/1911,"SPUR, TX US",3.081404315,16,-100.7387427,32.46300559,1.025407174,Loraine
0.9877,2013.5,METERS,GHCND_USW00003195,35.94611,-112.15472,10/16/2018,7/1/1996,"GRAND CANYON NATIONAL PARK AIRPORT, AZ US",2.139864108,14,-112.2897498,35.42978244,0.533692036,Perrin Ranch
0.9732,2239.4,METERS,GHCND_USC00023160,35.2681,-111.7428,6/20/2018,1/1/1909,"FORT VALLEY, AZ US",2.139864108,14,-112.2897498,35.42978244,0.570346603,Perrin Ranch
0.9308,2068.1,METERS,GHCND_USC00023596,36.0527,-112.1502,3/31/2012,5/1/1976,"GRAND CANYON NATIONAL PARK 2, AZ US",2.139864108,14,-112.2897498,35.42978244,0.638357601,Perrin Ranch
0.6669,701,METERS,GHCND_USC00465224,37.8566,-80.4042,10/17/2018,1851-04-01,"LEWISBURG 3 N, WV US",2.567836929,15,-80.52286531,38.07845545,0.251597489,Beech Ridge
0.9982,423.7,METERS,GHCND_USC00460939,37.64128,-80.88331,10/17/2018,3/1/1943,"BLUESTONE LAKE, WV US",2.567836929,15,-80.52286531,38.07845545,0.56660634,Beech Ridge
0.9971,539.5,METERS,GHCND_USC00443310,37.9458,-79.9542,10/17/2018,6/1/1980,"GATHRIGHT DAM, VA US",2.567836929,15,-80.52286531,38.07845545,0.583932964,Beech Ridge
0.9863,215.8,METERS,GHCND_USC00129430,40.475,-86.9919,10/17/2018,1/1/1901,"WEST LAFAYETTE 6 NW, IN US",2.139864108,14,-87.57918481,40.72323134,0.63759097,Settler's Trail
0.7581,230.1,METERS,GHCND_USW00014806,40.313,-88.1598,10/15/2018,1893-01-01,"RANTOUL, IL US",2.139864108,14,-87.57918481,40.72323134,0.710917543,Settler's Trail
0.926,182.6,METERS,GHCND_USW00014835,40.41222,-86.93694,10/16/2018,1/1/1944,"LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US",2.139864108,14,-87.57918481,40.72323134,0.713587029,Settler's Trail
0.9863,215.8,METERS,GHCND_USC00129430,40.475,-86.9919,10/17/2018,1/1/1901,"WEST LAFAYETTE 6 NW, IN US",2.567836929,15,-87.45743543,40.67916029,0.508335182,Benton County Wind Farm
0.926,182.6,METERS,GHCND_USW00014835,40.41222,-86.93694,10/16/2018,1/1/1944,"LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US",2.567836929,15,-87.45743543,40.67916029,0.584955218,Benton County Wind Farm
0.995,205.7,METERS,GHCND_USC00116344,40.1101,-87.9567,10/17/2018,11/1/2001,"OGDEN, IL US",2.567836929,15,-87.45743543,40.67916029,0.757030198,Benton County Wind Farm
0.9995,304.8,METERS,GHCND_USW00013969,36.73667,-97.10194,10/16/2018,1/1/1948,"PONCA CITY MUNICIPAL AIRPORT, OK US",1.78322009,13,-96.65345768,36.70667368,0.44948434,Osage Wind
0.9908,350.5,METERS,GHCND_USW00013932,37.16806,-97.03694,10/15/2018,7/1/1996,"WINFIELD STROTHER FIELD AIRPORT, KS US",1.78322009,13,-96.65345768,36.70667368,0.599946688,Osage Wind
0.9361,217.9,METERS,GHCND_USW00003959,36.7683,-96.0261,10/16/2018,1/1/1920,"BARTLESVILLE MUNICIPAL AIRPORT, OK US",1.78322009,13,-96.65345768,36.70667368,0.630377237,Osage Wind
0.9863,215.8,METERS,GHCND_USC00129430,40.475,-86.9919,10/17/2018,1/1/1901,"WEST LAFAYETTE 6 NW, IN US",2.139864108,14,-87.48510934,40.69207497,0.538866398,Goodland I
0.926,182.6,METERS,GHCND_USW00014835,40.41222,-86.93694,10/16/2018,1/1/1944,"LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US",2.139864108,14,-87.48510934,40.69207497,0.615474149,Goodland I
0.995,205.7,METERS,GHCND_USC00116344,40.1101,-87.9567,10/17/2018,11/1/2001,"OGDEN, IL US",2.139864108,14,-87.48510934,40.69207497,0.749061159,Goodland I
0.9999,198.1,METERS,GHCND_USW00014842,40.6675,-89.6839,10/16/2018,5/4/1943,"PEORIA INTERNATIONAL AIRPORT, IL US",3.697685178,17,-89.41575885,40.3326097,0.429011879,Rail Splitter
0.9999,181.1,METERS,GHCND_USW00093822,39.8447,-89.6839,10/16/2018,1/1/1901,"SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US",3.697685178,17,-89.41575885,40.3326097,0.556736517,Rail Splitter
0.9987,205.7,METERS,GHCND_USW00003887,39.83444,-88.86556,10/16/2018,11/1/2000,"DECATUR AIRPORT, IL US",3.697685178,17,-89.41575885,40.3326097,0.74222087,Rail Splitter
0.9945,1408.8,METERS,GHCND_USC00057866,37.36944,-102.74278,5/31/2002,9/1/1956,"SPRINGFIELD 7 WSW, CO US",1.78322009,13,-102.8597162,37.67288118,0.325193218,Twin Buttes
0.9511,1162.5,METERS,GHCND_USC00054388,38.0634,-102.9298,10/17/2018,8/1/1941,"JOHN MARTIN DAM, CO US",1.78322009,13,-102.8597162,37.67288118,0.396757716,Twin Buttes
0.987,1129,METERS,GHCND_USW00003013,38.07,-102.68806,10/16/2018,7/1/1996,"LAMAR MUNICIPAL AIRPORT, CO US",1.78322009,13,-102.8597162,37.67288118,0.432630576,Twin Buttes
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",2.567836929,15,-95.31330339,42.51814405,0.327874347,Intrepid
0.9943,407.8,METERS,GHCND_USW00014972,43.16444,-95.20167,10/15/2018,10/1/1996,"SPENCER MUNICIPAL AIRPORT, IA US",2.567836929,15,-95.31330339,42.51814405,0.655866198,Intrepid
0.9907,426.7,METERS,GHCND_USC00131277,42.0633,-95.8363,1/16/2018,7/1/1948,"CASTANA EXPERIMENTAL FARM, IA US",2.567836929,15,-95.31330339,42.51814405,0.693115116,Intrepid
0.7781,700.1,METERS,GHCND_USC00418566,33.47917,-100.87611,10/16/2018,5/1/1911,"SPUR, TX US",2.567836929,15,-100.9841689,33.76395802,0.304599632,McAdoo
0.9964,694.9,METERS,GHCND_USC00414967,33.06417,-101.04889,10/17/2018,5/1/1994,"LAKE ALAN HENRY, TX US",2.567836929,15,-100.9841689,33.76395802,0.702774571,McAdoo
0.5731,989.1,METERS,GHCND_USC00415410,33.6897,-101.8219,10/17/2018,3/1/1911,"LUBBOCK 9 N, TX US",2.567836929,15,-100.9841689,33.76395802,0.841015874,McAdoo
0.9942,195.7,METERS,GHCND_USW00003991,33.20611,-97.19889,10/16/2018,7/1/1996,"DENTON MUNICPAL AIRPORT, TX US",2.567836929,15,-97.40641697,33.73178472,0.565156046,Wolf Ridge
0.9792,192,METERS,GHCND_USC00412404,33.1991,-97.1049,10/12/2018,6/1/1913,"DENTON 2 SE, TX US",2.567836929,15,-97.40641697,33.73178472,0.612099253,Wolf Ridge
0.9977,208.8,METERS,GHCND_USW00053909,32.97333,-97.31806,10/16/2018,10/1/1997,"FORT WORTH ALLIANCE AIRPORT, TX US",2.567836929,15,-97.40641697,33.73178472,0.763583995,Wolf Ridge
0.9964,694.9,METERS,GHCND_USC00414967,33.06417,-101.04889,10/17/2018,5/1/1994,"LAKE ALAN HENRY, TX US",3.081404315,16,-100.8078339,32.7648556,0.384313856,Camp Springs
0.7781,700.1,METERS,GHCND_USC00418566,33.47917,-100.87611,10/16/2018,5/1/1911,"SPUR, TX US",3.081404315,16,-100.8078339,32.7648556,0.717569987,Camp Springs
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.081404315,16,-100.8078339,32.7648556,0.829530656,Camp Springs
0.9867,460.9,METERS,GHCND_USC00148946,38.9667,-98.489,10/17/2018,8/1/1964,"WILSON LAKE, KS US",1.78322009,13,-98.24339702,38.88661147,0.258331174,Smoky Hills II
0.8924,454.8,METERS,GHCND_USC00144178,38.6078,-97.9596,10/17/2018,3/1/1941,"KANOPOLIS LAKE, KS US",1.78322009,13,-98.24339702,38.88661147,0.397839901,Smoky Hills II
0.9887,568.1,METERS,GHCND_USW00093997,38.87611,-98.80917,10/15/2018,9/1/1949,"RUSSELL MUNICIPAL AIRPORT, KS US",1.78322009,13,-98.24339702,38.88661147,0.565870432,Smoky Hills II
0.667,249.3,METERS,GHCND_USW00013993,39.7736,-94.9233,10/16/2018,1/1/1948,"ST JOSEPH ROSECRANS MEMORIAL AIRPORT, MO US",2.567836929,15,-94.50754508,39.98894686,0.468216215,Lost Creek Ridge Wind Farm
0.8421,275.5,METERS,GHCND_USC00237862,39.3903,-94.5553,10/17/2018,11/1/1981,"SMITHVILLE LAKE, MO US",2.567836929,15,-94.50754508,39.98894686,0.600548579,Lost Creek Ridge Wind Farm
1,306.3,METERS,GHCND_USW00003947,39.2972,-94.7306,10/16/2018,10/1/1972,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",2.567836929,15,-94.50754508,39.98894686,0.726819933,Lost Creek Ridge Wind Farm
0.9943,407.8,METERS,GHCND_USW00014972,43.16444,-95.20167,10/15/2018,10/1/1996,"SPENCER MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.74662402,42.58957618,0.733167955,Pomeroy II (4Q07)
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",3.081404315,16,-94.74662402,42.58957618,0.808640185,Pomeroy II (4Q07)
0.9939,401.4,METERS,GHCND_USW00094971,43.40111,-94.74722,10/16/2018,7/1/1996,"ESTHERVILLE MUNICIPAL AIRPORT, IA US",3.081404315,16,-94.74662402,42.58957618,0.811534035,Pomeroy II (4Q07)
0.9899,387.1,METERS,GHCND_USC00133632,41.6452,-95.3339,2/24/2016,1899-02-01,"HARLAN, IA US",3.081404315,16,-94.94529587,42.15006409,0.637103539,Carroll
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",3.081404315,16,-94.94529587,42.15006409,0.84826686,Carroll
0.9907,426.7,METERS,GHCND_USC00131277,42.0633,-95.8363,1/16/2018,7/1/1948,"CASTANA EXPERIMENTAL FARM, IA US",3.081404315,16,-94.94529587,42.15006409,0.895218614,Carroll
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.081404315,16,-101.4228203,32.02891341,0.217588916,Panther Creek I
1,872.3,METERS,GHCND_USW00023023,31.9475,-102.2086,10/16/2018,6/1/1930,"MIDLAND INTERNATIONAL AIRPORT, TX US",3.081404315,16,-101.4228203,32.02891341,0.789985963,Panther Creek I
0.9977,914.7,METERS,GHCND_USW00003031,31.92056,-102.38667,10/16/2018,12/1/1998,"ODESSA SCHLEMEYER FIELD, TX US",3.081404315,16,-101.4228203,32.02891341,0.969920943,Panther Creek I
0.8602,503.2,METERS,GHCND_USW00024011,46.7825,-100.7572,10/16/2018,7/1/1936,"BISMARCK MUNICIPAL AIRPORT, ND US",2.139864108,14,-100.6951065,47.13505885,0.357985119,Baldwin
0.9915,533.4,METERS,GHCND_USC00325479,46.8127,-100.9097,9/4/2018,7/16/1913,"MANDAN EXPERIMENT STATION, ND US",2.139864108,14,-100.6951065,47.13505885,0.38725392,Baldwin
0.9203,577,METERS,GHCND_USC00328840,47.5213,-100.8883,10/7/2018,9/1/1912,"TURTLE LAKE, ND US",2.139864108,14,-100.6951065,47.13505885,0.431863352,Baldwin
0.9939,283.5,METERS,GHCND_USW00014777,41.3336,-75.7269,10/16/2018,1/1/1949,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2.139864108,14,-76.07719258,41.46764411,0.375063616,Mehoopany
0.8975,459.9,METERS,GHCND_USC00363018,41.1184,-75.7277,10/16/2018,10/1/1963,"FRANCIS E WALTER DAM, PA US",2.139864108,14,-76.07719258,41.46764411,0.494081485,Mehoopany
0.9293,145.7,METERS,GHCND_USC00362013,40.9591,-76.6176,7/15/2011,11/6/1939,"DANVILLE, PA US",2.139864108,14,-76.07719258,41.46764411,0.742062865,Mehoopany
0.6424,181.1,METERS,GHCND_USW00014834,41.5,-88.16667,10/17/2018,1893-11-01,"JOLIET, IL US",2.567836929,15,-88.53868195,41.16239508,0.502364378,Blackstone (Top Crop) II
0.9985,216.4,METERS,GHCND_USW00004808,41.77,-88.48139,10/15/2018,10/8/1998,"CHICAGO AURORA MUNICIPAL AIRPORT, IL US",2.567836929,15,-88.53868195,41.16239508,0.61030001,Blackstone (Top Crop) II
0.9691,140.2,METERS,GHCND_USC00114013,41.26472,-89.33806,6/30/2009,8/1/1962,"HENNEPIN POWER PLANT, IL US",2.567836929,15,-88.53868195,41.16239508,0.805900528,Blackstone (Top Crop) II
0.995,474.3,METERS,GHCND_USW00093986,34.9894,-99.0525,10/16/2018,1/1/1910,"HOBART MUNICIPAL AIRPORT, OK US",2.139864108,14,-99.00095209,35.12939067,0.149179671,Rocky Ridge I
0.5464,585.8,METERS,GHCND_USW00003932,35.3568,-99.2042,10/16/2018,8/17/1958,"CLINTON SHERMAN AIRPORT, OK US",2.139864108,14,-99.00095209,35.12939067,0.30499954,Rocky Ridge I
0.9498,464.8,METERS,GHCND_USC00340184,34.8847,-99.2964,10/17/2018,8/1/1945,"ALTUS DAM, OK US",2.139864108,14,-99.00095209,35.12939067,0.38361829,Rocky Ridge I
0.9526,365.8,METERS,GHCND_USC00343740,36.7425,-98.133,9/10/2018,3/12/1946,"GREAT SALT PLAINS DAM, OK US",1.78322009,13,-97.69082415,36.5584013,0.478969536,Chisholm View II
0.9995,304.8,METERS,GHCND_USW00013969,36.73667,-97.10194,10/16/2018,1/1/1948,"PONCA CITY MUNICIPAL AIRPORT, OK US",1.78322009,13,-97.69082415,36.5584013,0.615275768,Chisholm View II
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",1.78322009,13,-97.69082415,36.5584013,0.685384913,Chisholm View II
0.9756,298.7,METERS,GHCND_USW00094957,40.08028,-95.59194,10/16/2018,3/1/1912,"FALLS CITY BRENNER FIELD, NE US",2.567836929,15,-95.90447082,40.00568612,0.32130945,Flat Water
0.8829,318.5,METERS,GHCND_USW00014945,40.43444,-95.38833,8/30/2008,6/1/1912,"TARKIO, MO US",2.567836929,15,-95.90447082,40.00568612,0.670992725,Flat Water
0.5855,347.5,METERS,GHCND_USC00137669,40.736,-95.643,5/1/2018,1895-04-01,"SIDNEY 1 SSE, IA US",2.567836929,15,-95.90447082,40.00568612,0.775709577,Flat Water
0.9939,401.4,METERS,GHCND_USW00094971,43.40111,-94.74722,10/16/2018,7/1/1996,"ESTHERVILLE MUNICIPAL AIRPORT, IA US",3.081404315,16,-95.14048561,43.67217285,0.477632603,Lakefield (phase I)
0.9943,407.8,METERS,GHCND_USW00014972,43.16444,-95.20167,10/15/2018,10/1/1996,"SPENCER MUNICIPAL AIRPORT, IA US",3.081404315,16,-95.14048561,43.67217285,0.511406075,Lakefield (phase I)
0.9974,347.5,METERS,GHCND_USC00214546,44.2395,-95.3152,10/2/2018,1/1/1961,"LAMBERTON SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",3.081404315,16,-95.14048561,43.67217285,0.593620433,Lakefield (phase I)
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",2.567836929,15,-101.3008169,31.93693143,0.34329097,Panther Creek II
1,872.3,METERS,GHCND_USW00023023,31.9475,-102.2086,10/16/2018,6/1/1930,"MIDLAND INTERNATIONAL AIRPORT, TX US",2.567836929,15,-101.3008169,31.93693143,0.907844648,Panther Creek II
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,1/31/2008,12/1/1975,"O C FISHER DAM, TX US",2.567836929,15,-101.3008169,31.93693143,0.940937866,Panther Creek II
0.9989,201.2,METERS,GHCND_USW00014845,43.53306,-84.07972,10/16/2018,1898-01-01,"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",2.567836929,15,-83.55797383,43.53617895,0.521755492,Tuscola II
1,234.7,METERS,GHCND_USW00014826,42.9666,-83.7494,10/16/2018,5/2/1948,"FLINT BISHOP INTERNATIONAL AIRPORT, MI US",2.567836929,15,-83.55797383,43.53617895,0.600886144,Tuscola II
